scenario,budget,model,score_cut_hex,tie_u_cut_hex,score_cut_decimal,tie_u_cut_decimal,threshold_tie_count_train,tie_selected_count_train,source_train_policy_rate,source_select_policy_rate,source_select_abs_budget_deviation,propensity_adjusted_ipw_gain,propensity_adjusted_ipw_se,invalid_r12_policy_rate,r1f_minus_invalid_r12_policy_rate
pc1_ess0.5,0.5,S-Logit,0x1.1bbc56303f6e8p-9,0x1.0000000000000p+0,0.002164731522610864,1.0,1,1,0.49999976159426684,0.5008061150400485,0.0008061150400484607,0.0137895039994733,0.0006060333556928398,0.5008061150400485,0.0
pc1_ess0.5,0.1,T-Logit,0x1.182a2cb2c91c9p-5,0x1.0000000000000p+0,0.03419979791786749,1.0,1,1,0.09999976159426682,0.10013549593226347,0.00013549593226346024,0.01093019859832528,0.00041765760327651846,0.1001354959322634,6.938893903907228e-17
pc1_ess0.5,0.3,T-Logit,0x1.bd21f5b7b189ap-8,0x1.0000000000000p+0,0.006792185296666054,1.0,1,1,0.3000002384057332,0.3000441648133644,4.4164813364389044e-05,0.013422568034766765,0.0005393477392001665,0.3000441648133644,0.0
pc1_ess0.5,0.5,T-Logit,0x1.7e9413e737190p-9,0x1.0000000000000p+0,0.0029188417716865048,1.0,1,1,0.49999976159426684,0.5001100547129145,0.00011005471291447577,0.01411154904782138,0.0005799438573905209,0.5001100547129145,0.0
pc1_ess0.5,0.1,S-HGB,0x1.32ac762c7b6f0p-5,0x1.0000000000000p+0,0.037435751731988876,1.0,1,1,0.09999976159426682,0.09966669144088776,0.000333308559112247,0.011315599839794604,0.00041679639664674424,0.0996666914408877,5.551115123125783e-17
pc1_ess0.5,0.3,S-HGB,0x1.00596d86ed000p-8,0x1.0000000000000p+0,0.003911580314639451,1.0,4,4,0.3000002384057332,0.3004079170787763,0.0004079170787762987,0.013993075818459506,0.000584283679246234,0.3004079170787763,0.0
pc1_ess0.5,0.5,S-HGB,0x1.973d2fa6debe0p-11,0x1.faf8de2969a50p-2,0.0007767467658220638,0.4950899803901949,312,167,0.49999976159426684,0.5003530326505177,0.00035303265051767063,0.014435165914309376,0.0006314725329104794,0.5004366456466929,-8.361299617520856e-05
pc1_ess0.5,0.1,T-HGB,0x1.6b7b15a7e5440p-5,0x1.0000000000000p+0,0.04437021474510816,1.0,1,1,0.09999976159426682,0.100026155860342,2.615586034199202e-05,0.01095975856950234,0.0004188808054966463,0.100026155860342,0.0
pc1_ess0.5,0.3,T-HGB,0x1.6301f33aadad0p-8,0x1.0000000000000p+0,0.005416986353046396,1.0,1,1,0.3000002384057332,0.3007202151926958,0.0007202151926958278,0.013813221286491498,0.0005710904735998831,0.3007202151926958,0.0
pc1_ess0.5,0.5,T-HGB,0x1.b497c54739430p-11,0x1.8bfea62e79700p-1,0.0008327347831281803,0.773427193806782,1237,944,0.49999976159426684,0.5008454202946607,0.0008454202946607259,0.014332441887531498,0.0005919828693707449,0.500972626391406,-0.0001272060967453248
pc1_ess0.5,0.1,TO-HGB,0x1.904543a2d084ap-5,0x1.2eab467de6ed9p-1,0.04886115274577259,0.59115047728434,13,8,0.09999976159426682,0.09968169890173972,0.00031830109826028186,0.011299334156730796,0.00042250109348667607,0.0996838428247185,-2.143922978772861e-06
pc1_ess0.5,0.3,TO-HGB,0x1.7ec83a2e4bcd1p-8,0x1.ce30c8161238ep-1,0.005840791897113466,0.9027159239714011,451,406,0.3000002384057332,0.2999805617649917,1.9438235008273352e-05,0.01451087321191633,0.0005430572067976717,0.300004859558752,-2.429779376028618e-05
pc1_ess0.5,0.5,TO-HGB,0x1.2320b57b9008fp-10,0x1.22519c2936386p-2,0.0011105643051365942,0.2835144424585042,291910,82848,0.49999976159426684,0.49987922567219134,0.00012077432780865927,0.015048608481158932,0.0005653872778767288,0.599241480050082,-0.0993622543778907
pc1_ess0.5,0.1,DR-HGB,0x1.0a0a74c0cc7b9p-5,0x1.0000000000000p+0,0.03247568896621495,1.0,1,1,0.09999976159426682,0.09984821025309726,0.00015178974690274738,0.011405400532811808,0.0004004217899729125,0.0998482102530972,5.551115123125783e-17
pc1_ess0.5,0.3,DR-HGB,0x1.6b2eac99ef325p-8,0x1.19060ef0616c0p-3,0.005541722430220363,0.13721858664592013,181,23,0.3000002384057332,0.30067233424616807,0.0006723342461680826,0.013943656081486304,0.0005818217225253036,0.3007380812175195,-6.574697135142138e-05
pc1_ess0.5,0.5,DR-HGB,0x1.87febcb6c97bcp-9,0x1.4161d7c7290b3p-1,0.0029906850208076523,0.6276996069541582,89310,56231,0.49999976159426684,0.4997327242686364,0.00026727573136359206,0.014478378432132673,0.0006149192812774355,0.5154605432414971,-0.01572781897286074
